kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.78,KOTA SURABAYA,4080,431,1290,519,97,33,11,2020-04-11 16:29:27,"-7,2756141","112,6426424"
35.24,KAB. LAMONGAN,30033,280,234,110,13,0,0,2020-04-11 13:04:45,"-7,1181110","112,4149810"
35.73,KOTA MALANG,1042,153,444,68,8,4,0,2020-04-11 15:16:58,"-7,9786395","112,5617416"
35.07,KAB. MALANG,1237,41,209,86,11,4,1,2020-04-11 12:52:41,-8.2084395,"112,7468452"
35.18,KAB. NGANJUK,16642,359,41,18,9,0,0,2020-04-11 12:42:32,"-7,6150520","111,6670610"
35.76,KOTA MOJOKERTO,698,1,192,6,0,0,0,2020-04-11 12:40:39,"-7,4714887","112,4217213"
35.04,KAB. TULUNGAGUNG,6492,98,865,116,7,0,0,2020-04-11 15:20:40,"-7,7455014","111,8953035"
35.13,KAB. PROBOLINGGO,3995,22,305,11,4,0,0,2020-04-11 15:01:40,"-7,8223105","113,3864559"
35.23,KAB. TUBAN,10258,88,462,8,2,0,1,2020-04-11 12:33:42,-6.899108667900085,111.763916015625
35.11,KAB. BONDOWOSO,9326,27,842,2,1,0,0,2020-04-11 12:25:37,"-8,0284796","114,0265067"
35.16,KAB. MOJOKERTO,4907,0,231,38,0,0,0,2020-04-11 12:22:56,"-7,586911","112,420605"
35.72,KOTA BLITAR,901,13,147,2,1,1,0,2020-04-11 13:21:33,"-8,1031510","112,1626800"
35.77,KOTA MADIUN,545,3,47,8,0,0,0,2020-04-11 12:14:14,"-7,6300605","111,4930316"
35.17,KAB. JOMBANG,6168,142,454,5,3,0,0,2020-04-11 12:10:08,"-7,5567779","112,2489964"
35.75,KOTA PASURUAN,565,6,60,1,2,0,1,2020-04-11 12:15:35,"-7,6514338","112,8700750"
35.79,KOTA BATU,897,56,119,10,2,1,0,2020-04-11 11:25:00,"-7,8769031","112,4998848"
35.19,KAB. MADIUN,412,236,221,6,3,1,0,2020-04-10 16:26:15,"-7,6666455","111,5912452"
35.14,KAB. PASURUAN,283,22,78,30,3,0,0,2020-04-10 15:41:44,"-7,7514338","112,8700750"
35.22,KAB. BOJONEGORO,13124,48,113,1,1,0,1,2020-04-10 14:29:35,"-7,1524790","111,8869290"
35.29,KAB. SUMENEP,20048,13,120,0,0,0,0,2020-04-10 14:10:44,"-7,0095355","113,8495442"
35.17,KAB. JOMBANG,5882,104,449,5,3,0,0,2020-04-10 15:37:23,"-7,5567779","112,2489964"
35.10,KAB. BANYUWANGI,2886,62,514,7,3,1,0,2020-04-10 15:56:14,"-8,4169235","114,3311312"
